Ticker,Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM)
GEO,19.62688898,6.02880155,7.00296458,6.72349654
CIM,95.30618239,41.45353077,41.9057651,41.88621723
MIC,38.50607991,17.31325999,8.10654314,5.84829184
DHC,25.28973334,-0.97545492,-8.01672983,-8.53852079
SBRA,63.75003187,37.67684054,10.86126763,10.34774953
BGFV,31.31194838,1.54029875,1.18244447,0.84747038
HNRG,5.82826144,1.78083141,-25.89529858,-18.57035749
IEP,22.33018363,10.06418256,-15.50187199,-9.30647174
ATV,71.6964099,-1.39443132,23.87402551,23.37848814
CXW,20.86889966,10.07573627,9.93214987,9.5363785
SAR,72.91869018,50.0605108,50.0605108,51.71778867
NLY,98.88219674,-102.53255543,-102.53255543,-102.01086675
KSS,34.63001902,6.06788825,4.51086412,3.45949735
MVC,78.39392056,115.0892741,115.14606956,115.13670772
SIG,35.58684069,5.12131137,2.11337602,1.71905297
AFIN,32.79600401,-6.83659734,1.37345598,1.36817726
MUR,29.44975399,15.8543113,7.41495401,3.10611286
TGA,38.82151542,26.05875204,15.83893004,-2.78084946
MNRL,58.28828829,34.24744745,24.96696697,7.91231231
HIHO,27.05040262,-1.7148822,-0.22368029,-0.47718461
OKE,19.63352463,18.45539786,16.32378296,12.64162763
SCM,76.71937432,34.92561564,34.92561564,33.68874981
SPH,18.39949889,12.37220075,6.64960363,6.62126504
NRP,77.33755491,69.38406831,-12.08188336,-15.12968985
AROC,33.26442151,21.07086076,6.05478076,9.96514705
PBF,3.53228715,2.42082242,1.95648803,1.30160518
HP,15.18419307,7.06299492,-0.60133603,-0.50375129
FUN,36.34116989,21.27247148,14.5874536,11.68622133
PSEC,72.20032765,21.6423271,20.15208558,20.15208558
STWD,72.54599255,27.61524027,42.36149877,38.94457949
HTGC,97.41910076,61.04072828,61.04072828,60.89691523
SFL,45.33822674,43.11461941,15.71824282,19.43493393
BPMP,81.03730112,67.29068718,145.61369368,130.68157051
ADES,18.93673487,-21.00419485,67.82524327,50.64349513
TEO,28.23128879,7.71940721,4.43832187,-1.98806033
PBT,,94.68902972,94.68902972,94.68902972
EPM,46.12441117,32.36786551,32.71999034,26.64645469
FTAI,20.37043066,11.17395819,25.12541384,25.01359125
BCSF,80.98098381,47.7483074,47.66847029,47.66847029
AGNC,100,63.58595194,63.58595194,63.58595194
BPY,57.00353529,9.60624162,16.87187614,11.61770084
SLRC,67.60419627,37.38210899,36.1851115,36.1851115
GNL,38.0010499,11.53621817,16.46392441,14.84630689
BRMK,,,,
BBBY,32.33307854,0.54437469,-8.63101371,-7.06180012
PLYM,14.14315438,-15.82093113,-15.82093113,-14.12592602
GSBD,77.37973199,34.18760794,34.90427507,33.38412804
BPYU,29.72486625,29.9254893,14.85009947,12.39451188
DX,100,-92.8564043,-92.8564043,-92.8564043
CINR,24.78959449,20.23718439,19.4338179,9.33435348
APTS,31.34676618,-1.90176989,-1.58633261,-1.54443029
LMRK,73.75821018,18.63539956,43.42672414,34.45881226
GLAD,80.17079699,44.20146033,44.20146033,44.20146033
SPG,60.13944183,36.0473656,35.38193347,36.7771273
CUK,,,,8.93948072
SHI,,,,2.42572849
TPCO,19.91976801,2.80120307,0.479378,-1.6869264
OVV,24.01580358,15.47904614,4.44475801,3.30182023
NEWT,82.07774212,37.76801342,37.49908839,37.49908839
MNDO,53.76270314,21.61142318,23.6825179,21.7186227
SITC,39.96706922,11.69713948,20.23308201,19.74484568
FSI,18.80955841,8.22715383,8.75551628,4.20780679
CORR,67.6258055,42.9874687,5.0195874,4.746603
CSWC,98.11835735,15.6809984,15.6809984,12.64105087
RPT,39.46857543,6.89917376,39.87383446,38.6474374
SUNS,85.66333607,64.94381386,64.94381386,64.94381386
SLB,12.80797156,8.91332746,-31.64626181,-30.79563751
LOAN,99.92964296,61.28422583,61.24335225,61.23555903
HRZN,70.2667317,50.05519472,50.05519472,50.05519472
PMD,43.64350549,7.95689792,8.11083391,4.09257392
AB,,,,
KREF,92.66186016,30.91605387,32.55865801,32.35045578
IVZ,66.46747316,20.76470874,15.75572074,11.04957165
RPAI,30.12793336,5.90413726,6.73271154,6.64854485
APLE,23.84634399,13.70122478,13.58739036,13.53393699
STAY,34.83150402,27.02051109,15.9620725,5.71884037
OLP,57.43440233,17.16971317,22.43325309,20.30412639
KRG,31.31257127,3.80546752,-0.08001563,-0.15814112
PACW,,46.47360443,46.46266668,34.02123685
GNK,11.29282789,-0.21592062,-14.3739971,-14.3739971
BLX,,29.59140865,29.59140865,29.59140865
BMA,,31.71925413,33.60740419,28.19360344
EEX,52.28595179,17.09614852,-15.23967858,-13.85425326
WBK,,26.85027613,26.36953035,18.29068504
IGT,38.70106728,15.39078266,5.95024119,-0.3975297
OUT,35.1587925,9.5780496,8.18090001,7.74884974
MMP,46.52465975,39.5026342,36.50403467,36.45272193
EPD,16.94916296,16.60881462,14.55073711,14.03083734
CNQ,26.92929911,24.45017708,22.92422719,23.68064361
MTR,,93.33207695,93.33207695,93.15508448
BGSF,25.76895305,6.71443368,5.96369726,4.50097866
OCSI,76.27146328,55.62782793,55.62782793,55.62782793
GPS,37.38631508,6.11609595,3.22285296,2.14246475
RRD,16.27895861,3.91160256,-0.57518881,-1.48497498
WLKP,35.0235628,32.3460096,30.51073609,5.57687929
CNK,17.68999351,12.40888563,8.33846314,5.79251494
SPKE,22.42285622,6.01099008,2.63874943,1.03853902
BXMT,91.11593627,34.75992583,34.75992583,34.61052722
BGS,21.95723476,12.80499924,6.36540044,4.60059961
RDS.B,8.9845329,5.6255626,6.40804697,4.63771792
CVA,11.55080214,5.02673797,-0.16042781,0.53475936
GOOD,33.89905357,6.65962403,8.26240183,5.83442292
MFGP,62.15755351,15.39651542,-1.0330262,-0.5617528
WMB,35.73954396,29.00865748,12.97402756,10.54749421
CCL,,,,8.93948072
GOGL,16.4279298,14.42693235,5.30307538,5.26935469
APAM,,33.23290505,33.27652833,16.59451731
ORCC,91.44399794,69.38050543,69.37939533,69.10408907
NEXA,11.34032155,1.75002766,-9.25607532,-6.28673939
WPP,18.16991458,11.03736731,7.2920857,4.73448158
VTR,29.43652443,13.94239236,9.88927765,11.1810987
TSLX,77.29289648,63.97448596,62.72849729,61.24281922
CMO,99.95261982,-15.36074139,-15.36074139,-15.40420945
VER,50.378711,22.62675923,-24.4881721,-24.28674815
BRG,28.65695099,-10.71153022,13.86817164,17.04719722
AEG,,12.75373744,11.42701771,10.13430911
RHP,19.16451646,8.66101363,9.14292513,9.08218784
OCSL,68.38592109,77.03542934,77.03542934,76.63615826
CTL,33.45832775,16.87424669,-21.2758359,-23.52127137
CATO,36.46305617,4.49999637,5.23485038,4.18800146
MAIN,100,58.10160257,55.68008172,55.15185051
SNP,10.4394161,2.32971256,2.57864847,1.6582125
EAT,11.33175113,6.75038303,4.52128459,4.1848169
BSBR,,31.02421688,23.77411429,17.54051211
CODI,31.6055711,6.25106927,-1.65395654,-7.33847023
SBR,,93.9065194,93.9065194,93.9065194
CQP,29.43023777,27.7403918,17.57140721,16.25542097
GBDC,75.17323349,5.91883042,4.71195088,4.71195088
BRX,47.08485515,21.87353572,24.24673744,24.18858544
SU,43.27665345,13.99436678,6.6059879,7.5605049
GT,21.2885724,5.53407935,1.20040692,-2.10918956
MEOH,5.04837058,5.04837058,2.48915362,3.17881032
STAF,15.77432594,0.94550366,-1.36872911,-1.3008468
PLCE,31.03271131,5.47392696,4.72660034,3.91849329
BP,9.56756994,5.61372793,1.7635484,1.4512874
HAL,10.19725098,5.23920029,-5.00714031,-5.04730453
BLMN,11.48512498,4.83585863,3.42296895,3.15440274
CADE,,29.3516677,26.66994066,20.46958439
GLPI,68.73242807,37.18361852,34.30032606,33.83546906
NNBR,13.65601079,1.37341274,-5.89261208,-5.30756351
BBAR,,22.35789744,27.15997491,22.6145806
BBGI,20.30071223,12.19170883,7.58526245,5.14242494
RMCF,27.02261096,7.98428619,7.98011168,6.01462511
TCP,63.02729529,54.59057072,73.69727047,66.25310174
MPC,7.8171199,5.14957836,3.50676809,2.1361394
WRI,40.46507899,22.22457505,62.26121066,64.84934582
EVA,12.17664834,7.2172991,-0.43401126,-2.36530977
SALM,13.93315426,7.65504258,-9.39826229,-10.96463934
AVH,12.59654882,-8.19600406,-18.85833072,-19.72694556
SCU,95.44886353,6.38203261,2.26074583,1.161747
EVC,36.83011971,6.8449237,-4.13780499,-7.20533674
NTB,,29.68875672,29.68875672,29.92041499
KIM,46.94637254,23.56724228,26.92297072,35.20680241
TX,21.65071496,10.84703616,10.85897775,7.97134763
KTB,39.64524684,9.65047533,5.30278397,3.79110968
BXG,75.81068145,13.66961797,7.72484163,4.62066552
GAIN,80.43569703,45.26788422,45.26788422,32.06197971
SSSS,118.43645563,111.73825629,111.73825629,115.8579098
CLB,22.4519238,15.26511127,12.27069334,14.08988192
IRM,44.15936437,8.24281703,7.69821779,6.27021075
OEC,26.39673574,11.03726548,8.09962116,5.88748084
BGG,15.26937924,-2.42215952,-3.90742249,-3.32418373
TGE,53.82786419,36.60222931,63.85694219,30.60434005
OHI,66.32661348,37.42281402,37.22943629,36.93482218
EC,36.52114087,31.44599633,27.07877092,16.60446463
SAN,,22.90838146,15.34251784,8.175699
XYF,58.17948941,27.9712176,27.83992696,29.19456786
ING,,37.33458103,37.33992522,26.12726697
DOW,15.11061364,9.01150031,-1.50557458,-3.02870687
FCAU,13.88614159,5.45814192,3.5235287,2.4929058
CVE,10.52970616,8.79044646,6.92235271,10.87161191
MBT,42.14170503,23.08287964,13.62398273,10.94352221
PSXP,53.37477798,43.96092362,82.23801066,69.53818828
JHG,75.08308632,25.95886104,26.20587443,18.6742118
