Ticker,Basic EPS (FY),Basic EPS (TTM),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY)
VAPO,-2.7444,-2.7713,-2.7713,-44886000,5837000,20133000,48104000,-2.7444,48104000,-51059000
CAPR,-2.059,-2.125,-2.125,,,,1005028,-2.059,1005028,-7641817
BOSC,0.2829,-0.0233,-0.0233,961000,1372000.00000107,6743000.00000863,32650000.0000416,0.2829,32650000.0000416,990000.00000126
VAL,-1.1424,-1.7572,-1.7572,119900000,-117400000.001348,-356100000.000579,2053200000.00336,-1.1424,2053200000.00336,-198100000.000324
ASYS,-0.4758,-0.4449,-0.4452,7193000,8174000,33357000,85035000,-0.4758,85035000,-6776000
CPST,-2.4866,-2.4998,-2.4998,-11803000,2628000,9452000.00000001,83412000,-2.4866,83412000,-16659000
SDRL,-12.18,-12.18,-12.18,226000000,-110000000,-331000000,1261000000,-12.18,1261000000,-1225000000
MXL,-0.2802,-0.2798,-0.2798,46453000,30900000,144602000,317180000,-0.2802,317180000,-19898000
ATRO,1.6241,1.5406,1.4938,83205000,42261000,280395000,772702000,1.6025,772702000,52017000
ACRS,-3.9046,-3.9055,-3.9055,-103477000,67000,172000,4227000,-3.9046,4227000,-161354000
CFBI,0.079,0.0252,0.0252,,,,15648000,0.079,15648000,592000
PLUG,-0.3606,-0.3694,-0.3694,-37298000,19320000,27966000,230239000,-0.3606,230239000,-85465000
ACBI,1.2077,0.7236,0.7168,,,,116767000,1.1993,116767000,28158000
NEPH,-0.4534,-0.463,-0.463,-3111000,1856000,5898000,10334000,-0.4534,10334000,-3420000
DBX,-0.128,-0.1276,-0.1276,94000000,341100000,1250300000,1661300000,-0.128,1661300000,-52700000
MOXC,0.0069,0.0203,0.0203,-529690,,,370411,0.0069,370411,300455
TWOU,-3.8314,-3.7625,-3.7625,-106534000,113881000,412511000,574671000,-3.8314,574671000,-235222000
TCRR,-2.571,-6.3704,-6.3704,-45578000,-258000,-419000,0,-2.571,0,-24251000
ALRM,1.1054,1.1048,1.0664,78356000,81617000,296630000,502363000,1.0648,502363000,53531000
EQX,-0.16772701,-0.13880856,-0.1399653,102214767.6884519,37166293.15370218,76350709.39962636,288246030.1509944,-0.16772701,288246030.1509944,-18786842.2935717
UMRX,-1.0444,-1.0473,-1.0522,,,,22499000,-1.0444,22499000,-31833000
SRRA,-30.2988,-8.4265,-8.4265,-66804000,0,-83000,0,-30.2988,0,-88275000
MIRM,-2.2859,-2.2859,-2.2859,-54419000,-120000,-324000,0,-2.2859,0,-52553000
FRHC,0.1232,0.4285,0.4269,48297000,22868000,72162000,78400000,0.1227,78400000,7147000
LCI,-7.2024,-0.1043,-0.1213,134749000,41294000,243610000,655407000,-7.2024,655407000,-272107000
MSN,-0.1111,-0.1575,-0.1575,-4563000,-11000,222000,8982000,-0.1111,8982000,-2437000
CNTG,-0.6512,,,,5555855.18378625,24228520.6705168,47753910.4884441,-0.6512,47753910.4884441,-12933596.5384854
DAIO,-0.1439,-0.1446,-0.1448,-410000,3280000,12550000,21568000,-0.1439,21568000,-1187000
ATIF,0.0121,0.0135,0.0135,721920,,,3078758,0.0121,3078758,429227
MSON,-0.7915,-0.5709,-0.5803,-5947220,12842002,25757581,38848491,-0.7915,38848491,-7386797
TLGT,-0.6765,-0.6359,-0.6359,1242000,7280000,22385000,65864999.99999999,-0.6765,65864999.99999999,-36256000
LOPE,5.4205,5.4225,5.3717,295713000,92120000,313414000,778643000,5.3697,778643000,259175000
PESI,0.1922,0.1912,0.1893,4808000,4648000,15873000,73459000,0.192,73459000,2315000
IOVA,-1.5889,-1.5866,-1.5866,-198749000,-2283000,-8123000,0,-1.5889,0,-197556000
AVGR,-3.1814,-3.5498,-3.5498,-18237000,927000,2867000,9131000,-3.1814,9131000,-19450000
NSTG,-1.1766,-1.2359,-1.2935,-74951000,22131000,82460000,125568000,-1.1766,125568000,-40696000
FENC,-0.65702718,-0.65787546,-0.65787546,-13329091.96067091,0,0,0,-0.65702718,0,-13071999.47169817
TLC,-0.7971,-0.7965,-0.7965,-24169300,,,6765502.53379781,-0.7971,6765502.53379781,-26122655.3366046
WSC,-0.1023,-0.1026,-0.1068,343508000,98820000,399918000,1063665000,-0.1023,1063665000,-11122000
BH,14.6248,14.6248,14.6248,43380000,32089000,105602000,668838000,14.6248,668838000,45380000
TCX,1.4494,1.4506,1.4313,48749000,23391000,91125000,337145000,1.4293,337145000,15398000
CREX,0.1065,0.1063,0.1063,890000,2146000,12489000,31598000,0.1064,31598000,1038000
MITK,-0.0184,0.0745,0.0714,18450000,17326000,71724000,84590000,-0.0184,84590000,-724000
GLUU,0.0608,0.0603,0.0543,17323000,73562000,266339000,411381000,0.0564,411381000,8871000
ARTW,-0.3319,-0.3319,-0.3319,-493340,1260047,3448568,22889173,-0.3319,22889173,-1419586
TRIP,0.9066,0.8991,0.8888,314000000,281000000,1340000000,1560000000,0.8958,1560000000,126000000
RFP,-0.5142,-0.5386,-0.5493,200000000,75000000,558000000,2923000000,-0.5142,2923000000,-47000000
CFX,-3.9927,-3.9046,-3.9051,605631000,395843000,1401056000,3327458000,-3.9927,3327458000,-541879000
GLNG,-2.1345,-2.097,,231458000,77589000.0000194,175586000.000117,448750000.0003,-2.1345,448750000.0003,-211956000.000142
AVDL,-0.8882,-0.8875,-0.8875,-14372500,8423689.350896,46265374.461922,59203962.24149,-0.8882,59203962.24149,-33219806.627303
SITM,-0.6258,,,,13448000,39558000,84074000,-0.6258,84074000,-6607000
FREQ,-0.6419,,,,4484000,12134000,28947000,-0.6419,28947000,-18746000
YI,-0.8835,-0.882,-0.882,,6031228.538704,23905423.245365,571944447.3893449,-0.8835,571944447.3893449,-72303402.2019445
CEMI,-0.8066,-0.7953,-0.7953,-10690900,2569100,12069715,34464032,-0.8066,34464032,-13675129
FOE,0.0736,0.0728,0.0689,172344000,75276000,302386000,1018366000,0.0728,1018366000,6038000
CCK,3.8091,3.809,3.7818,1729000000,413000000,1869000000,11658000000,3.7811,11658000000,510000000
IMMP,-4.0413,-2.0373,-2.0373,-13675600,,,99965.5271852,-4.0413,99965.5271852,-13118756.5726401
FOR,0.7862,1.0595,1.0582,61900000,30600000,66400000.00000001,428300000,0.7856,428300000,33000000
WB,2.1979,2.1967,2.1669,622048000,379529319.071372,1440563853.68764,1769955969.9925401,2.1838,1769955969.9925401,495526646.716286
KNDI,-0.1112,-0.0774,-0.0774,7228610,5276415.00000545,20247445.0000218,112438828.000119,-0.1112,112438828.000119,-5694699.00000601
LYFT,-11.4385,-8.9123,-8.9123,-2594050000,367196000,803375000,3615960000,-11.4385,3615960000,-2602241000
BATRK,-1.5098,-1.5066,-1.6288,32000000,-18000000,65000000,476000000,-1.5098,476000000,-77000000
STMP,3.4316,3.4323,3.3192,121431000,111168000,394466000,571850000,3.3284,571850000,59229000
PTACU,0.0015,,,,0,0,0,0.0015,0,32110
TACO,-3.1953,-3.1917,-3.1923,79595000,23513000,76302000,512951000,-3.1953,512951000,-118285000
PGTI,0.7488,0.7486,0.7379,128155000,53626000,249542000,744956000,0.7386,744956000,43688000
EDIT,-2.6758,-2.6868,-2.6868,-138091000,,,20531000,-2.6758,20531000,-133746000.00000001
GMAB,0.3803,0.3715,0.3669,,,,478828185.736554,0.3756,478828185.736554,233015101.193234
FTCH,-1.2084,-1.2736,-1.2736,-258312000,126071000.001446,346255000.000566,1021037000.00167,-1.2084,1021037000.00167,-385297000.000631
CTRC,-6.023,-7.0586,-7.0586,78126000,153136000,141384000,596602000,-6.023,596602000,-123766000
BLUE,-14.3068,-14.3032,-14.3032,-794645000,3868000,24262000,44674000,-14.3068,44674000,-789608000
DIOD,3.0175,3.0156,2.958,285921000,104860000,447766000,1249130000,2.9551,1249130000,153250000
FNKO,0.3795,0.4006,0.3645,88512000,51427000,240416000,795122000,0.3561,795122000,11725000
SRAX,0.8639,-1.5221,-1.5221,-15739800,679000,6723688,9880608,0.8639,9880608,8743593
GNW,0.9226,0.9232,0.5932,,,,8161000000,0.9103,8161000000,464000000
UAMY,0.0121,-0.0234,-0.0234,-1178850,-361995,-493321,9034403,0.0121,9034403,873225
ARGX,-4.2709,-4.411,-4.411,,,,78104527.112684,-4.2709,78104527.112684,-182398352.90713403
USNA,4.4394,4.4604,4.4289,169197000,220453000,858869000,1060902000,4.4056,1060902000,100526000
SAEX,-102.2455,-9.8918,-9.9838,-1081000,3127000,-2872000.00000001,94604000,-102.2455,94604000,-83600000
RMTI,-0.5602,-0.5652,-0.5652,-31442600,1111765,2838942,61302801,-0.5602,61302801,-34128031
ARPO,-0.5734,-0.5733,-0.5733,,0,0,0,-0.5734,0,-23271000
ZEAL,-2.5347,-2.5913,-2.5913,,1703130.92754173,4103773.53968285,6196210.83893008,-2.5347,6196210.83893008,-85679445.9413286
EYE,0.4172,0.4185,0.4024,171405000,190547000,830568000,1724331000,0.4015,1724331000,32798000
EVOP,-0.3088,-0.3301,-0.3301,121487000,82268000,297354000,485778000,-0.3088,485778000,-10105000
MYOV,-4.0883,-3.7162,-3.7162,-280868000,-510000,-438000,0,-4.0883,0,-273551000
CCRC,0.878,0.5496,0.5496,14673400,,38865745.00004081,141433641.000149,0.878,141433641.000149,16092538.000017
ANPC,,,,,,691853.09886604,1549037.62852268,,1549037.62852268,-6356797.05059018
RNGR,0.2085,0.2857,0.2425,47200000,8100000,39100000,336900000,0.2085,336900000,1800000
CTHR,0.1041,0.0805,0.0792,2357980,5018911,14891942,32244109,0.1029,32244109,2275467
BVXV,-3.7336,-4.4696,-3.8844,,0,-72317.37625487,0,-3.7336,0,-24400717.1796568
FORR,-0.5175,-0.5238,-0.5267,55609000,66235000,233780000,461697000,-0.5175,461697000,-9570000
BMCH,1.6468,1.6473,1.6322,236603000,218739000,892051000,3626593000,1.6314,3626593000,109845000
ARW,-2.4422,-2.3506,-2.392,1094930000,772626000,3096420000,28916847000,-2.4422,28916847000,-204087000
OSMT,-5.1731,-5.152,-5.152,60109200,35163255,126344000,240031000,-5.1731,240031000,-270901000
ICPT,-10.889,-10.9013,-10.9013,-303376000,69026000,238739000,252002000,-10.889,252002000,-344681000
DL,0.6389,0.5254,0.5198,,25925018.135104,107073653.173835,211807466.895043,0.6338,211807466.895043,21252541.763307
CHRA,-1.4259,-1.4226,-1.4226,2943000,13203000,40376000.0000001,554868000,-1.4259,554868000,-42058000
CYCN,-4.4926,-4.4815,-4.4815,-110975000,,,4507000,-4.4926,4507000,-123008000
EGY,0.043,0.0417,0.0395,27897000,9996000,39749000,84521000,0.043,84521000,2545000
AOBC,0.3379,0.2691,0.2654,88741000,55203000,196600000,638277000,0.3334,638277000,18410000
MRKR,-0.47,-0.4701,-0.4701,-22242200,,,213194,-0.47,213194,-21427964
GIII,2.9836,3.0018,2.9609,285760000,241316000,1079205000,3160464000,2.94,3160464000,143837000
MDB,-3.1377,-3.1285,-3.1285,-130640999.99999999,87966000,293386000,421720000,-3.1377,421720000,-175522000
NEON,-0.599,-0.599,-0.599,-4351000,856000,4704000,6646000,-0.599,6646000,-5298000
AXDX,-1.5467,-1.5464,-1.5464,-70231000,1513000,4400000,9297000,-1.5467,9297000,-84305000
BLFS,0.5684,0.5628,0.4393,2093000,5128000,18513000,27371000,0.42,27371000,11062000
CHGG,-0.0806,-0.0818,-0.086,48161000,99339000,318744000,410926000,-0.0806,410926000,-9605000
THC,-2.2438,-2.2412,-2.2437,2528000000,521000000,1679000000,18479000000,-2.2438,18479000000,-232000000
TPHS,-0.0683,-0.0687,-0.0687,-7660000,-2763000,-4571000,4062000,-0.0683,4062000,-2179000
PANW,-0.8667,-1.7978,-1.7978,242100000,528299999.99999994,2091199999.9999995,2899600000,-0.8667,2899600000,-81900000
MCRB,-1.2406,-1.3337,-1.3337,-62237000,,,34505000,-1.2406,34505000,-70279000
OTEL,2.2843,2.2853,2.2722,22752000,6201000,25048000,62766000,2.2726,62766000,7796000
NVR,241.2906,241.1481,221.2536,903771000,392891000,1410358000,7260220000,221.1274,7260220000,878539000
BGNE,-12.1416,-13.8549,-13.8549,-837338000,25872137.996924,159477753.831648,198042114.536993,-12.1416,198042114.536993,-673164350.062937
TMDI,-1.29155074,-2.13006042,-2.13006042,-71610574.01812688,-7281.2871922,-27559.99111814,0,-1.29155074,0,-21484733.14421314
OSG,0.0972,0.0972,0.0962,111370000,21824000,57657000,355547000,0.0968,355547000,8675000
ETON,-1.0315,-1.0347,-1.0347,-18154000,6000,506000,959000,-1.0315,959000,-18320000
ARCE,-0.4482826,-0.4127826,-0.4169,20482700,27219556.4671625,78361467.8687068,104199246.76570103,-0.4483,104199246.76570103,-22531133.9635269
CTIB,-1.0019,-2.1426,-2.1426,-923400,807624,11428978,55591102,-1.0019,55591102,-3585709
WBT,0.3966,0.3962,0.3948,283000000,125100000,532900000,1593900000,0.3949,1593900000,55900000
KALV,-1.3803,-1.7658,-1.7658,-41915000,,,16127000,-1.3803,16127000,-20816000
VIVE,-34.3862,-58.197,-58.197,-28639000,-119000,1016000,6567000,-34.3862,6567000,-42526000
QFIN,-2.839,2.8946,2.7611,,314814018.652232,560932367.769473,671671027.636658,-2.839,671671027.636658,180339867.466344
CSPR,-2.345,-2.2931,-2.2931,,57485000,207658000,439258000,-2.345,439258000,-93040000
TATT,0.0908,0.0908,0.0908,6350000,4387000.00000486,15562000.0000015,102032000.000011,0.0908,102032000.000011,806000.00000009
FOCS,-0.2751,-0.2737,-0.2738,249264000,213902000,772247000,1218341000,-0.2751,1218341000,-12872000
HMG,0.2663,0.2663,0.2663,-911710,-187291,-460970,353610,0.2663,353610,269870
PDD,-0.8717,-0.8709,-0.8709,,1242708012.83556,3444805889.80181,4362159194.61167,-0.8717,4362159194.61167,-1008357389.80812
EXPR,-2.4853,-2.5526,-2.5526,77199000,163901000,550575000,2019194000,-2.4853,2019194000,-164358000
ECPG,5.3787,5.3725,5.328,487708000,242214000,979634000,1395631000,5.3336,1395631000,167869000
AMBA,-1.3539,-1.3577,-1.3577,,33316000.00000001,132709000,228732000,-1.3539,228732000,-44792000
BCOR,0.9976,1.0111,0.954,122188000,34818000,312337000,717945000,0.977,717945000,48148000
TGH,0.9891,0.9917,0.9852,441247000,76147000,328398000,688030000,0.9872,688030000,56724000
KE,1.2192,1.2798,1.2742,75351000,19612000,87345000.0000001,1181844000,1.2087,1181844000,31526000
RETO,0.1969,-0.0315,-0.0315,2943080,,17201523.0000181,37569862.0000396,0.1969,37569862.0000396,4480618.00000473
CTEK,0.1971,-0.1563,-0.16,634900,1099989,18713055,71106459,0.1918,71106459,1893592
BV,0.4319,0.3952,0.3908,270482000,129500000,581900000,2404600000,0.4296,2404600000,44400000
BSTC,3.3451,3.3434,3.328,26681900,,,38187755,3.3286,38187755,24469808
BW,-56.6045,-19.8337,-19.8337,-132621000.00000001,40371000,-131928000,1060750000,-56.6045,1060750000,-719771000
AMPH,1.0416,1.0388,0.9792,21336000,31233000,123190000,322357000,0.9806,322357000,48939000
ALYA,-0.2575,-0.1137,-0.1137,5934160,12550530.8471172,34456492.468182,159673416.716436,-0.2575,159673416.716436,-9508997.95461834
PTC,-0.2333,-0.1012,-0.1032,197237000,261928000,905785000,1255004000,-0.2333,1255004000,-27460000
QHC,-6.9108,-5.1128,-5.1128,119780000,-9195000.00000003,44850000.00000011,1878589000,-6.9108,1878589000,-200248000
ASND,-3.7357,-4.6171,-4.6171,-203583000,,,12482935.6370129,-3.7357,12482935.6370129,-153481946.656129
CYAD,-2.559,-2.5634,-2.5634,-36526000,,,6715.49177702,-2.559,6715.49177702,-32046326.7599612
TRPX,-2.4285,,,,,-146522.362242,0,-2.4285,0,-8495306.75774
WKEY,-3.3315,-3.2878,-3.2878,-19342300,,9465715.361054,22675273.303577,-3.3315,22675273.303577,-22936541.462338
LONE,0.295,1.0411,1.0326,143063000,15438000,80550000,201169000,0.2795,201169000,15078000
PDFS,-0.1672,-0.167,-0.167,-304000,13330000,51502000,85585000,-0.1672,85585000,-5418000
OCC,-0.7675,-0.6764,-0.6764,-2707610,2394149,18266149,71324446,-0.7675,71324446,-5669321
HZO,1.6141,1.826,1.782,82107000,80018000,322832000,1237153000,1.5727,1237153000,35985000
SD,-12.6826,-12.6529,-12.6529,125063000,1651000,-2044999.99999996,266845000.00000003,-12.6826,266845000.00000003,-449305000
YCBD,-2.8192,-4.0707,-4.0707,-14105300,5133024,14514873,23651550,-2.8192,23651550,-50428226
PLAG,-6.9183,-12.674,-12.674,-2489200,43924,304659,6828887,-6.9183,6828887,-20604365
CUTR,-0.876,-0.8764,-0.8772,-9049000,28044000,95248000,181712000,-0.876,181712000,-12348000
BNFT,-1.3988,-1.4015,-1.4015,-2155000,44043000,150692000,295686000,-1.3988,295686000,-45515000
BKD,-1.4412,-1.4424,-1.4424,387589000,116295000,497111000,4057088000,-1.4412,4057088000,-267930999.99999997
ACER,-2.9149,-2.9151,-2.9151,-28339200,-17709,-58282,0,-2.9149,0,-29417969
AAOI,-3.3054,-3.298,-3.298,-24767000,11196000,45701000,190872000,-3.3054,190872000,-66049000.00000001
LGF.A,-1.3299,-1.3805,-1.3806,1977300000,388700000.001134,1513800000.0086799,3680500000.0211,-1.3299,3680500000.0211,-284200000.001629
FRTA,-0.1141,-0.1147,-0.1192,171894000,54699000,248982000,1529752000,-0.1141,1529752000,-7331000
CAR,4.016,4.0501,4.0163,3966000000,494000000,2258000000,9172000000,3.9894,9172000000,302000000
HHS,-4.2584,-4.2626,-4.2626,-4617000,5420999.99999999,14485000,217577000,-4.2584,217577000,-26264000
XPL,-0.0566,-0.0566,-0.0566,-2735000,-14000,,408000,-0.0566,408000,-3289000
CKH,1.4129,1.4552,1.3968,110816000,29045000,147762000,799966000,1.3812,799966000,26774000
JMEI,1.2539,,,,,164828635.84524,648157845.440663,1.2497,648157845.440663,17716305.5760083
TWST,-3.9207,-4.4959,-4.4959,-112903000,3372000,6959000,54385000,-3.9207,54385000,-107669000
OGEN,-0.3681,-0.3742,-0.3742,-15816500,-18278,-62622,0,-0.3681,0,-15566003
THCB,0.0961,0.0952,0.0952,-778820,0,0,0,0.0961,0,3367179
DLPN,-0.223,-0.3331,-0.4472,-3082920,-34715,4513553,22551339,-0.2282,22551339,-2913321
CONN,2.332,2.6956,2.6461,230949000,207255000,847678000,1549813000,2.2811,1549813000,73849000
NPTN,-0.361,-0.3698,-0.3724,17754000,31202000,88694000,356804000,-0.361,356804000,-17076000
CFB,0.5935,0.7907,0.7838,,,,225357000,0.5826,225357000,28473000
PDEX,0.9894,0.985,0.9599,5771000,2864000,9780000,27172000,0.965,27172000,4148000
RMG,0.0727,0.0727,0.0727,-1093070,0,0,0,0.0727,0,2086083
PS,-1.192,-1.1837,-1.1837,-131445000,69576000,244723000,316910000,-1.192,316910000,-112658000
UBER,-6.8138,-5.0101,-5.0172,-8112000000,1535000000,4360000000,14147000000,-6.8138,14147000000,-8506000000
VIPS,0.8707,0.8682,0.8533,,993669457.02173,2992860059.1504,13458230700.1712,0.8544,13458230700.1712,581319318.970631
MOD,1.6713,0.2112,0.2081,142700000,73500000,366400000,2213800000,1.6491,2213800000,84400000
KOD,-1.2513,-1.2464,-1.2464,-48279000,-506000,-911000,0,-1.2513,0,-47365000
INOV,0.0508,0.0487,0.0485,177570000,100056000,366346000,642410000,0.0507,642410000,7538000
MKGI,0.4981,-0.5332,-0.5332,-6351920,-525127,-2665406,505187,0.4981,505187,4298563
IMGN,-0.7021,-0.7034,-0.7034,-66712000,,,82271000,-0.7021,82271000,-104133000
IQV,0.979,0.9764,0.9543,2059000000,682000000,2591000000,11093000000,0.9569,11093000000,191000000
SNDX,-1.8382,-1.8492,-1.8492,-57088000,,,1517000,-1.8382,1517000,-56047000
AXTA,1.0646,1.065,1.0565,923100000,365700000,1475500000,4482200000,1.056,4482200000,249000000
NVRO,-3.366,-3.382,-3.382,-89461000,81258000,268350000.00000003,390255000,-3.366,390255000,-103686000
PFIE,0.0426,0.0425,0.0414,4631410,2787739,18969484,38981313,0.042,38981313,2021492
SWN,1.652,1.6514,1.6471,773000000,131000000,527000000,3038000000,1.6488,3038000000,891000000
GALT,-0.2595,-0.2571,-0.2571,-13413000,-9000,-35000,0,-0.2595,0,-13294000
SOGO,0.229,0.2289,0.2256,,133048656.578442,434544839.121103,1174270182.77952,0.2258,1174270182.77952,89258405.73235899
SMMCU,0.0456,0.0449,0.0449,-561490,0,0,0,0.0456,0,1403487
AMD,0.3126,0.3061,0.2967,847000000,950000000,2869000000,6731000000,0.3045,6731000000,341000000
DLA,1.1895,1.4886,1.4559,26972000,19893000,85152000,431730000,1.1668,431730000,8242000
ALJJ,-0.4128,-0.5231,-0.5231,20614000,10630000,61783000,354997000,-0.4128,354997000,-15979000
ALGR,0.1011,0.1011,0.1011,-655840,0,0,0,0.1011,0,1927147
APHA,-0.05029958,-0.25123283,-0.25153397,-63653679.65367965,8846979.10784867,15333974.40639101,175390191.5822176,-0.05029958,175390191.5822176,-12204305.05214883
HGSH,0.0822,0.0657,0.0657,4982980,559399,9321639,39575150,0.0822,39575150,3702172
HAPP,0.74,,,,,32247068.0000417,63936185.0000827,0.74,63936185.0000827,18721979.0000242
KEYS,3.3032,3.5694,3.5078,1063000000,655000000,2560000000,4303000000,3.2513,4303000000,621000000
LODE,-0.795,-0.3918,-0.3918,-3984990,-499675,-5582250.5,150289,-0.795,150289,-9480753
WEX,2.2857,2.2847,2.2588,625692000,241014000,987181000,1723691000,2.262,1723691000,99006000
ATRS,-0.0125,-0.0132,-0.0146,3549000,23813000,73037000,123864000,-0.0125,123864000,-2027000
CDTX,-1.4124,-1.4276,-1.4276,-41396000,,,20915000,-1.4124,20915000,-41092000
POST,1.7189,1.3951,1.3369,1124700000,427000000,1645900000,5681100000,1.6604,5681100000,124700000
SMIT,-0.3023,-0.2299,-0.2302,-827390,389754,4973305,13810161,-0.3023,13810161,-1210990
AMTB,1.2066,1.2066,1.1959,,,,370970000,1.1955,370970000,51334000
TMHC,2.38,2.3849,2.3572,365243000,207202000,818790000,4762059000,2.3516,4762059000,254652000
PXLW,-0.2398,-0.2424,-0.2424,-7384000,7224000,34183000,68755000,-0.2398,68755000,-9077000
PRTS,-0.8877,-0.883,-0.883,-1898000,19483000,77871000,280657000,-0.8877,280657000,-31548000
IMMR,-0.6357,-0.6402,-0.6404,-19254000,9802000,33586000,35953000,-0.6357,35953000,-20044000
ESSCU,-0.0023,,,,0,0,0,-0.0023,0,-14828
ANDA,-0.0215,-0.0214,-0.0214,,0,0,0,-0.0215,0,-295982
BYND,-0.2943,-0.2917,-0.2975,12511000,32829000,97285000,297897000,-0.2943,297897000,-12443000
SILC,1.3612,1.36,1.3469,,8856000.0000097,36094000.0000044,105240000.00001203,1.3469,105240000.00001203,10236000.0000011
ICCC,-0.1901,-0.1883,-0.1885,,1838000,6740000,13723000,-0.1901,13723000,-1296000
BB,0.17091875,-0.10615471,-0.1828722,43997289.66685489,151326146.31762695,560325715.6012179,898110721.4601064,0,898110721.4601064,92394133.95551938
PGEN,-2.0911,-2.0861,-2.0861,-172116000,1591000,29321000,90722000,-2.0911,90722000,-322324000
RRGB,-0.6098,-0.6112,-0.6119,100580000,41509000,164768000,1315014000,-0.6098,1315014000,-7903000
FSCT,-2.5793,-2.5917,-2.5917,-88361000,70306000,257623000,336801000,-2.5793,336801000,-118535000
WOW,0.451,0.4509,0.4492,397700000,83700000,362100000,1145800000,0.4483,1145800000,36400000
HMTV,-0.086,-0.0864,-0.0864,74053000,24793000,93716000,149387000,-0.086,149387000,-3367000
RHE,-11.8615,-3.4875,-3.4875,8677000,2116000,8091000,22046000,-11.8615,22046000,-11895000
RBCN,-0.4236,-0.4249,-0.425,-1658000,709000,1082000,3526000,-0.4236,3526000,-1147000
CORV,-0.44764973,-0.90287009,-0.90287009,-23500906.34441088,3402256.24829905,15408958.9127507,27211707.0803852,-0.44764973,27211707.0803852,-15733517.87981125
CTK,-0.0585,-0.4879,-0.4879,-34453700,65453835.72122,162862907.571787,178190250.213736,-0.0585,178190250.213736,-36909435.133994
PACQU,0.0743,0.071,0.071,,0,0,0,0.0743,0,3785174
GTE,0.1028,0.1027,0.0939,332649000,14038000.0000408,142346000.000017,570983000.0000689,0.1028,570983000.0000689,38690000.0000047
GTN.A,1.2828,1.2751,1.2592,630000000,181000000,573000000,2122000000,1.27,2122000000,179000000
HDS,2.7163,2.7106,2.7013,848000000,516000000,2297000000,6146000000,2.7068,6146000000,452000000
JOB,-1.5002,-1.4671,-1.4671,8347000,11118000,46086000,151674000,-1.5002,151674000,-17763000
NVCN,-72.40965002,0.93043807,0.93043807,-27227265.86102719,205732.27089722,947815.62512477,1659932.16295723,-72.40965002,1659932.16295723,-102532987.24073143
BNTX,-5.3443,-5.5886,-5.5886,-101817000,,110032899.931721,150506574.69645903,-5.3443,150506574.69645903,-56650403.37330391
VICR,0.3496,0.3498,0.3376,24155000,29761000,122966000,262976999.99999997,0.3383,262976999.99999997,14098000
EMX,0.5686777,0.57462236,0.57462236,-9092673.71601208,-1141238.67069486,-4130494.21584419,1560951.09093572,0.56391858,1560951.09093572,45480744.61853859
BCDA,-3.2801,-3.0046,-3.0046,-13911000,29000,108000,625000,-3.2801,625000,-13987000
FIVN,-0.0754,-0.0761,-0.0771,22457000,53383000,189977000,328006000,-0.0754,328006000,-4552000
ECHO,0.5564,0.5564,0.5535,73945000,80150000,347646000,2184977000,0.5535,2184977000,14846000
BNGO,-1.9906,-2.2924,-2.2924,-24747100,785505,2274629,10129508,-1.9906,10129508,-29815070
CPIX,-0.2298,-0.2304,-0.2304,81940,9734942,34377441,47533637,-0.2298,47533637,-3537759
TRMB,2.0506,2.0549,2.0376,632200000,437500000,1684900000,3264300000,2.0336,3264300000,514299999.99999994
IESC,1.5751,1.6537,1.6334,53962000,47853000,182103000,1076996000,1.5578,1076996000,33206000.00000001
CHRS,1.2892,1.2818,1.1647,110988000,114996000,335734000,356071000,1.2275,356071000,89833000
ERA,-0.171,-0.1808,-0.1808,33235000,11532000,33894000,226059000,-0.171,226059000,-3593000
SCOR,-5.3309,-5.5359,-5.5359,2209000,38005000,144808000,388645000,-5.3309,388645000,-338996000
GTYH,-1.6857,-1.8522,-1.8522,-27434000,3229000,10060000,36443000,-1.6857,36443000,-97370000
PLL,-1.5811,-1.5817,-1.5817,,,-8812.701416,0,-1.5811,0,-9823407.859299
RLGY,-1.1208,-0.7459,-0.7491,491000000,207000000,928000000,5598000000,-1.1208,5598000000,-128000000
YEXT,-1.0876,-1.0821,-1.0821,-85560000,53556000,198699000,298829000,-1.0876,298829000,-121544000
LBRDA,0.6457,0.6446,0.6373,-27402000,827000,3534000,14859000,0.6413,14859000,117216000
IRDM,-1.3278,-1.2986,-1.2986,307825000,29014000,117595000,560444000,-1.3278,560444000,-161999000
PETZ,-1.4876,-1.1124,-1.1124,-7527900,,-4052796,23674037,-1.4876,23674037,-14219225
SBSW,0.0069,0.0057,,,,,5047032565.943,,5047032565.943,29967296.5519825
MMYT,-1.6132,-1.4264,-1.4264,-99055000,60112000.0000054,73628999.9999998,486011000.000003,-1.6132,486011000.000003,-167759000.000001
GPX,0.9027,0.898,0.8961,26328000,23309000,89212999.9999999,583290000,0.9008,583290000,15189000
CTSO,-0.5973,-0.5967,-0.5967,-18392500,5335620,17585554,24949473,-0.5973,24949473,-19265644
DCO,2.8183,2.818,2.7537,87207000,40111000,152197000,721088000,2.7528,721088000,32461000
NM/PH,-12.4318,-12.2546,-12.3562,240356000,34732000.00036141,122043000.000954,482449000.00376904,-12.4318,482449000.00376904,-192110000.001501
OXBR,-0.0532,-0.0534,-0.0534,,,,850000,-0.0532,850000,-305000
