Ticker,Basic EPS (FY),Basic EPS (TTM),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY)
EOG,4.7344,4.7345,4.7105,8213200000.000001,1206068000,4891684000,17076085000,4.7091,17076085000,2734910000
CRD.A,0.2654,0.2635,0.2594,108197000,67054000,283577000,1047627000,0.2628,1047627000,12485000
CRS,3.4612,3.7235,3.6926,370700000,109700000,450600000,2379200000,3.4324,2379200000,165100000
FBIZ,2.6801,2.6707,2.6707,,,,125239000,2.6801,125239000,22822000
PAYX,2.88,3.088,3.0683,1690700000,802400000,2594700000,3772500000,2.86,3772500000,1034400000.0000002
ASRV,0.3473,0.3462,0.3446,,,,65035000,0.3456,65035000,6028000
TSBK,2.8874,3.0075,2.9573,,,,70055000,2.8365,70055000,24020000
MATW,-1.2092,-1.6495,-1.6539,211568000,98885000,499110000,1537276000,-1.2092,1537276000,-37988000
DEI,2.0888,2.0732,2.0732,610183000,59910000,306772000,946414000,2.0888,946414000,362119000
WH,1.6269,1.6252,1.6218,573000000,152000000,594000000,2053000000,1.6253,2053000000,157000000
BK,4.5274,4.545,4.5303,,,,20814000000,4.5106,20814000000,4423000000
WOR,2.683,1.814,1.7708,238781000,115545000,481317000,3759556000,2.6088,3759556000,153455000
LCII,5.8608,5.8596,5.8388,272669000,122482000,508486000,2371482000,5.8386,2371482000,146509000
ALRS,1.9607,2.009,1.9668,,,,205987000,1.9143,205987000,29540000
BMTC,2.9394,2.9397,2.9265,,,,274976000,2.9262,274976000,59206000
PKBK,2.2898,2.5186,2.4844,,,,83379000,2.2586,83379000,29841000
CLDB,1.6776,1.679,1.6768,,,,34665000,1.6742,34665000,7282000
HBB,-0.2573,-0.2566,-0.2567,35341000,44571000,128168000,612843000,-0.2573,612843000,-3522000
MDU,1.689,1.6852,1.6848,737236000,178200000,677363000,5336776000,1.6889,5336776000,335453000
ETN,5.2768,5.2755,5.2535,3941000000,1683000000,7052000000,21390000000,5.2543,21390000000,2211000000
CAT,10.8494,10.8209,10.7166,11072000000,3844000000,15692000000,53789000000,10.7366,53789000000,6093000000
RBCAA,4.4039,4.3945,4.3706,,,,347259000,3.329,347259000,91699000
ADC,1.9642,1.9633,1.9325,165228000,31805000,118146000,205467000,1.9334,205467000,79702000
BFZ,1.153,1.153,1.153,44702000,,23555454,28337134,1.153,28337134,36782808
HIG,5.719,5.7216,5.6572,,,,20512000000,5.6563,20512000000,2085000000
SYBT,2.9236,2.9238,2.8896,,,,197555000,2.8894,197555000,66066999.99999999
NTRS,6.6608,6.6634,6.6301,,,,6917000000,6.6275,6917000000,1475300000
TILE,1.3437,1.3458,1.3457,191250000,135704000,510704000,1343029000,1.3436,1343029000,79200000
NTIC,0.5734,0.4604,0.4449,-4796050,4826316,17779893,55750137,0.5533,55750137,5209622
FTS,2.92184307,2.9273183,2.92107191,2941199151.725467,534412955.465587,1910160015.4231732,6785425101.214575,2.91721612,6785425101.214575,1327935222.6720648
KO,2.0861,2.0863,2.0678,11701000000,5479000000,22665000000,37273000000,2.0677,37273000000,8920000000
RL,5.3462,8.7442,8.6054,1012100000,1013800000,3599700000,6313000000,5.2742,6313000000,430900000
PLAY,3.002,2.8515,2.7962,300960000,26954000,241388000,1265301000,2.9324,1265301000,117221000
HMC,3.12,2.4749,2.4749,19695300000,7184664416.01918,28491612667.5824,143276650917.965,3.12,143276650917.965,5503564752.15236
BRBS,1.1555,1.1829,,,,,50323118,,50323118,4791760
GILD,4.2409,4.2382,4.2099,5564000000,4165000000,17647000000,22322000000,4.2177,22322000000,5386000000
AROW,2.5084,2.5082,2.5008,,,,138314000,2.5012,138314000,37475000
MCBS,1.8228,1.8267,,,,,123106000,1.8083,123106000,44718000
JPM,10.7534,10.7486,10.7189,,,,149545000000,10.7238,149545000000,36229000000
OXM,4.0877,4.0892,4.0486,,166593000,645167000,1122790000,4.05,1122790000,68493000
BANF,4.1324,4.1323,4.0471,,,,473886000,4.0468,473886000,134879000
HCSG,0.8685,0.8684,0.8661,91819000,60237000,227901000,1840778000,0.8658,1840778000,64581000
